,z,om,o2,so4,h2s,fes2,dso4,dh2s,dfes2,f_o2,f_so4,f_h2s,f_fes2,fe,DB,DSO4,DH2S,DO2,phi,omega
19,9.515859766277128,722.9710475242687,-0.0,17.274214337136073,26.17307498302622,0.7190907942192472,94.91161351631705,-10.875795128568765,-5.723828502593386,1.7804175853120865e-16,1.4085244466748413e-11,1.1726986447088995e-11,2.358258019659418e-12,9.01147847353614,0.0,2.66177054615397e-10,5.634141983601246e-10,1.0746394758360852e-09,0.65,1.5e-11
20,10.016694490818029,725.3895440826047,-0.0,17.193190333275073,26.918417341067606,0.8011142576318587,96.30886022678213,-10.916667962896573,-6.31040983627599,5.4663338892000676e-17,1.4151024812216473e-11,1.1746738443502515e-11,2.4042863687139584e-12,8.932877618722157,0.0,2.663892729661465e-10,5.636639208159634e-10,1.0746976803777153e-09,0.65,1.5e-11
21,10.517529215358932,721.0849122982074,-0.0,17.133307379572578,27.6204194938455,0.8795576449772797,97.51677870846068,-10.96143520862879,-6.671750848518778,2.34970198075614e-17,1.4032317003500784e-11,1.158791448855088e-11,2.4444025149499028e-12,8.851011622778106,0.0,2.6660149131689595e-10,5.639136432718022e-10,1.0747558849193456e-09,0.65,1.5e-11
22,11.018363939899833,723.5115736838717,-0.0,17.092246775531798,28.281377133535617,0.9642752457452299,98.55167555665108,-11.00989942835107,-7.097846133834757,1.6709398407357312e-17,1.4098532211218228e-11,1.1618601682707683e-11,2.4799305285105446e-12,8.769716630608787,0.0,2.668137096676455e-10,5.64163365727641e-10,1.0748140894609756e-09,0.65,1.5e-11
23,11.519198664440735,719.2057930938388,-0.0,17.068038949553582,28.903414855850826,1.0450850414446544,99.42880931104396,-11.061933486294702,-7.359255585610348,1.5798057577573008e-17,1.398017955232833e-11,1.147002731422834e-11,2.5101522380999885e-12,8.685484226310736,0.0,2.6702592801839493e-10,5.6441308818348e-10,1.074872294002606e-09,0.65,1.5e-11
24,12.020033388981636,721.6405650009683,-0.0,17.05882362322135,29.488593447106794,1.1318362055799467,100.16312446795709,-11.117344257674738,-7.685049894014534,1.5302408909513568e-17,1.4046870531277028e-11,1.1510449163658773e-11,2.5364213676182545e-12,8.602155670774073,0.0,2.672381463691444e-10,5.646628106393188e-10,1.0749304985442358e-09,0.65,1.5e-11
25,12.520868113522537,717.333577296692,-0.0,17.063040289588535,30.03881521747065,1.2143931443039628,100.76825456592569,-11.17601045190482,-7.883509356355459,1.4713315965458263e-17,1.3928830266593969e-11,1.1370890277058763e-11,2.557939989535206e-12,8.51617612345143,0.0,2.674503647198939e-10,5.649125330951575e-10,1.074988703085866e-09,0.65,1.5e-11
26,13.021702838063439,719.7764122278794,-0.0,17.07919386627002,30.555930590466673,1.3025968197451903,101.2573529865193,-11.237745876111571,-8.142959878600955,1.4357915831269907e-17,1.3995942447447866e-11,1.1419855464459452e-11,2.5760869829884136e-12,8.431395056608837,0.0,2.676625830706434e-10,5.651622555509964e-10,1.0750469076274963e-09,0.65,1.5e-11
27,13.52253756260434,715.4681669637845,-0.0,17.106049739660286,31.041642823130648,1.3863576075934398,101.6421714112795,-11.302436745233715,-8.299814986920154,1.3920091703028885e-17,1.387815213277794e-11,1.1288162757284666e-11,2.589989375493275e-12,8.344211660161957,0.0,2.678748014213929e-10,5.654119780068353e-10,1.0751051121691262e-09,0.65,1.5e-11
28,14.023372287145243,717.9190254660255,-0.0,17.14240383023877,31.497613960537922,1.4755052975572969,101.9339518514181,-11.369905560190567,-8.513423043388196,1.3702270097275323e-17,1.3945633381576473e-11,1.1344585576770287e-11,2.601047804806185e-12,8.258486578796731,0.0,2.6808701977214236e-10,5.65661700462674e-10,1.0751633167107564e-09,0.65,1.5e-11
